n,2n,closest_value,d(n)
47161225,94322450,94519628,197178
47160091,94320182,94517354,197172
47158271,94316542,94513714,197172
47158207,94316414,94513574,197160
47157151,94314302,94511458,197156
47156431,94312862,94510012,197150
47154895,94309790,94506932,197142
47150319,94300638,94497764,197126
47149951,94299902,94497023,197121
47147913,94295826,94492943,197117
47147487,94294974,94492088,197114
47144895,94289790,94486898,197108
47144039,94288078,94485184,197106
47142607,94285214,94482308,197094
47140861,94281722,94478812,197090
47137823,94275646,94472729,197083
47134971,94269942,94467004,197062
47133935,94267870,94464926,197056
47129447,94258894,94455934,197040
47128271,94256542,94453577,197035
47126505,94253010,94450034,197024
47125531,94251062,94448081,197019
47122343,94244686,94441697,197011
47120123,94240246,94437254,197008
47118099,94236198,94433201,197003
47116607,94233214,94430194,196980
47114719,94229438,94426412,196974
47111935,94223870,94420834,196964
47111679,94223358,94420322,196964
47109311,94218622,94415581,196959
47108935,94217870,94414822,196952
47106557,94213114,94410062,196948
47104399,94208798,94405745,196947
47102817,94205634,94402574,196940
47102625,94205250,94402184,196934
47101417,94202834,94399760,196926
47099119,94198238,94395158,196920
47098721,94197442,94394362,196920
47097853,94195706,94392620,196914
47096915,94193830,94390738,196908
47095879,94191758,94388659,196901
47095059,94190118,94387018,196900
47092457,94184914,94381805,196891
47089771,94179542,94376431,196889
47089659,94179318,94376192,196874
47087387,94174774,94371641,196867
47084287,94168574,94365430,196856
47083967,94167934,94364782,196848
47082855,94165710,94362551,196841
47081983,94163966,94360802,196836
47079119,94158238,94355068,196830
47078815,94157630,94354460,196830
47076379,94152758,94349576,196818
47075163,94150326,94347139,196813
47071609,94143218,94340027,196809
47071353,94142706,94339505,196799
47071113,94142226,94339025,196799
47070079,94140158,94336954,196796
47064347,94128694,94325471,196777
47064091,94128182,94324952,196770
47063037,94126074,94322837,196763
47061951,94123902,94320664,196762
47061131,94122262,94319021,196759
47060459,94120918,94317676,196758
47055415,94110830,94307564,196734
47054305,94108610,94305343,196733
47052015,94104030,94300742,196712
47049983,94099966,94296674,196708
47048127,94096254,94292948,196694
47044315,94088630,94285318,196688
47038463,94076926,94273582,196656
47035233,94070466,94267112,196646
47033499,94066998,94263635,196637
47032089,94064178,94260814,196636
47029483,94058966,94255594,196628
47028393,94056786,94253408,196622
47026399,94052798,94249408,196610
47025391,94050782,94247383,196601
47023443,94046886,94243486,196600
47021823,94043646,94240232,196586
47020503,94041006,94237592,196586
47018663,94037326,94233910,196584
47017641,94035282,94231850,196568
47014847,94029694,94226254,196560
47013631,94027262,94223819,196557
47013055,94026110,94222664,196554
47012967,94025934,94222487,196553
47010287,94020574,94217114,196540
47008249,94016498,94213034,196536
47004783,94009566,94206080,196514
47000255,94000510,94197007,196497
46997663,93995326,94191821,196495
46994409,93988818,94185305,196487
46993143,93986286,94182763,196477
46992319,93984638,94181099,196461
46990575,93981150,94177610,196460
46989055,93978110,94174564,196454
46986983,93973966,94170413,196447
46986783,93973566,94170008,196442
46985711,93971422,94167859,196437
46981345,93962690,94159115,196425
46980863,93961726,94158142,196416
46980095,93960190,94156600,196410
46978607,93957214,94153624,196410
46977023,93954046,94150444,196398
46973695,93947390,94143782,196392
46972519,93945038,94141426,196388
46971959,93943918,94140301,196383
46969209,93938418,94134797,196379
46969023,93938046,94134419,196373
46968943,93937886,94134256,196370
46968091,93936182,94132543,196361
46966767,93933534,94129895,196361
46964207,93928414,94124774,196360
46961691,93923382,94119725,196343
46961371,93922742,94119082,196340
46959611,93919222,94115560,196338
46956031,93912062,94108387,196325
46955817,93911634,94107958,196324
46954399,93908798,94105118,196320
46953811,93907622,94103936,196314
46953343,93906686,94102990,196304
46951753,93903506,94099808,196302
46950255,93900510,94096802,196292
46947583,93895166,94091456,196290
46946983,93893966,94090246,196280
46946555,93893110,94089382,196272
46944937,93889874,94086142,196268
46943225,93886450,94082710,196260
46942547,93885094,94081354,196260
46938855,93877710,94073948,196238
46936223,93872446,94068682,196236
46935911,93871822,94068058,196236
46935067,93870134,94066363,196229
46934519,93869038,94065266,196228
46932105,93864210,94060430,196220
46931047,93862094,94058314,196220
46928475,93856950,94053164,196214
46926943,93853886,94050085,196199
46925083,93850166,94046347,196181
46924767,93849534,94045715,196181
46923547,93847094,94043272,196178
46923471,93846942,94043119,196177
46920671,93841342,94037507,196165
46917447,93834894,94031056,196162
46916935,93833870,94030024,196154
46915579,93831158,94027306,196148
46912751,93825502,94021636,196134
46911259,93822518,94018648,196130
46911081,93822162,94018288,196126
46908911,93817822,94013948,196126
46908671,93817342,94013459,196117
46907389,93814778,94010887,196109
46906985,93813970,94010078,196108
46905313,93810626,94006730,196104
46904255,93808510,94004608,196098
46900449,93800898,93996988,196090
46899359,93798718,93994793,196075
46897391,93794782,93990854,196072
46896511,93793022,93989092,196070
46894363,93788726,93984788,196062
46893737,93787474,93983530,196056
46890779,93781558,93977602,196044
46888063,93776126,93972158,196032
46887231,93774462,93970484,196022
46884521,93769042,93965060,196018
46883977,93767954,93963971,196017
46883327,93766654,93962663,196009
46879679,93759358,93955357,195999
46877673,93755346,93951340,195994
46876839,93753678,93949672,195994
46876201,93752402,93948388,195986
46875327,93750654,93946628,195974
46869289,93738578,93934546,195968
46866825,93733650,93929614,195964
46865993,93731986,93927937,195951
46865319,93730638,93926578,195940
46865183,93730366,93926303,195937
46861919,93723838,93919774,195936
46860623,93721246,93917177,195931
46860243,93720486,93916408,195922
46858365,93716730,93912640,195910
46857631,93715262,93911164,195902
46856417,93712834,93908734,195900
46853801,93707602,93903488,195886
46849023,93698046,93893924,195878
46848377,93696754,93892621,195867
46846207,93692414,93888274,195860
46845471,93690942,93886802,195860
46845211,93690422,93886280,195858
46844383,93688766,93884611,195845
46842951,93685902,93881744,195842
46841415,93682830,93878669,195839
46840943,93681886,93877718,195832
46838043,93676086,93871910,195824
46837951,93675902,93871721,195819
46837919,93675838,93871655,195817
46834923,93669846,93865661,195815
46832875,93665750,93861556,195806
46832447,93664894,93860696,195802
46830207,93660414,93856205,195791
46829183,93658366,93854153,195787
46828345,93656690,93852476,195786
46827819,93655638,93851423,195785
46826075,93652150,93847930,195780
46824155,93648310,93844088,195778
46823707,93647414,93843179,195765
46821979,93643958,93839714,195756
46817563,93635126,93830866,195740
46813609,93627218,93822938,195720
46812879,93625758,93821473,195715
46812839,93625678,93821392,195714
46810679,93621358,93817072,195714
46808223,93616446,93812146,195700
46807265,93614530,93810230,195700
46806895,93613790,93809488,195698
46805631,93611262,93806950,195688
46803967,93607934,93803620,195686
46803035,93606070,93801746,195676
46801235,93602470,93798145,195675
46801129,93602258,93797932,195674
46801063,93602126,93797800,195674
46799623,93599246,93794917,195671
46796959,93593918,93789574,195656
46795455,93590910,93786557,195647
46794619,93589238,93784882,195644
46793759,93587518,93783152,195634
46792759,93585518,93781151,195633
46792247,93584494,93780122,195628
46789855,93579710,93775331,195621
46789161,93578322,93773942,195620
46786729,93573458,93769066,195608
46785563,93571126,93766732,195606
46785071,93570142,93765748,195606
46784251,93568502,93764105,195603
46782983,93565966,93761566,195600
46781183,93562366,93757946,195580
46779385,93558770,93754348,195578
46776799,93553598,93749170,195572
46775709,93551418,93746986,195568
46774951,93549902,93745457,195555
46771361,93542722,93738274,195552
46771199,93542398,93737936,195538
46767871,93535742,93731266,195524
46763647,93527294,93722804,195510
46762875,93525750,93721259,195509
46760635,93521270,93716777,195507
46759423,93518846,93714334,195488
46758215,93516430,93711917,195487
46757103,93514206,93709684,195478
46751969,93503938,93699398,195460
46749439,93498878,93694330,195452
46749011,93498022,93693473,195451
46748201,93496402,93691847,195445
46746651,93493302,93688739,195437
46745129,93490258,93685687,195429
46743167,93486334,93681755,195421
46741673,93483346,93678760,195414
46740639,93481278,93676691,195413
46739707,93479414,93674824,195410
46737321,93474642,93670040,195398
46732615,93465230,93660623,195393
46731263,93462526,93657910,195384
46731111,93462222,93657598,195376
46729097,93458194,93653567,195373
46727807,93455614,93650975,195361
46724123,93448246,93643600,195354
46723837,93447674,93643025,195351
46720447,93440894,93636220,195326
46718367,93436734,93632053,195319
46717951,93435902,93631216,195314
46715135,93430270,93625577,195307
46713727,93427454,93622760,195306
46713327,93426654,93621959,195305
46710951,93421902,93617194,195292
46709887,93419774,93615059,195285
46705321,93410642,93605908,195266
46703103,93406206,93601460,195254
46700599,93401198,93596444,195246
46697735,93395470,93590705,195235
46694431,93388862,93584087,195225
46693915,93387830,93583052,195222
46689279,93378558,93573772,195214
46688347,93376694,93571895,195201
46687515,93375030,93570227,195197
46683559,93367118,93562310,195192
46682057,93364114,93559300,195186
46680175,93360350,93555530,195180
46679911,93359822,93554998,195176
46679519,93359038,93554210,195172
46678617,93357234,93552394,195160
46677955,93355910,93551068,195158
46677183,93354366,93549514,195148
46674415,93348830,93543970,195140
46674031,93348062,93543194,195132
46671643,93343286,93538408,195122
46669851,93339702,93534821,195119
46668103,93336206,93531316,195110
46667199,93334398,93529505,195107
46664745,93329490,93524596,195106
46662941,93325882,93520988,195106
46662433,93324866,93519967,195101
46661679,93323358,93518441,195083
46659241,93318482,93513554,195072
46657855,93315710,93510778,195068
46652671,93305342,93500401,195059
46652399,93304798,93499846,195048
46649683,93299366,93494402,195036
46648959,93297918,93492953,195035
46647167,93294334,93489352,195018
46643807,93287614,93482624,195010
46642203,93284406,93479413,195007
46639975,93279950,93474944,194994
46637159,93274318,93469304,194986
46635487,93270974,93465947,194973
46632959,93265918,93460888,194970
46630375,93260750,93455704,194954
46630171,93260342,93455291,194949
46626663,93253326,93448268,194942
46625961,93251922,93446860,194938
46623209,93246418,93441347,194929
46623047,93246094,93441014,194920
46619119,93238238,93433151,194913
46618447,93236894,93431807,194913
46618395,93236790,93431690,194900
46617727,93235454,93430354,194900
46614063,93228126,93423014,194888
46611041,93222082,93416966,194884
46609343,93218686,93413560,194874
46608543,93217086,93411952,194866
46608231,93216462,93411317,194855
46605043,93210086,93404938,194852
46604563,93209126,93403975,194849
46604455,93208910,93403751,194841
46603775,93207550,93402391,194841
46603391,93206782,93401620,194838
46603375,93206750,93401588,194838
46602567,93205134,93399968,194834
46599487,93198974,93393794,194820
46597033,93194066,93388877,194811
46596095,93192190,93386996,194806
46594331,93188662,93383464,194802
46594025,93188050,93382850,194800
46592567,93185134,93379934,194800
46592319,93184638,93379430,194792
46590953,93181906,93376697,194791
46590591,93181182,93375965,194783
46587193,93174386,93369166,194780
46586575,93173150,93367930,194780
46585947,93171894,93366674,194780
46585503,93171006,93365782,194776
46585259,93170518,93365293,194775
46583351,93166702,93361462,194760
46582087,93164174,93358924,194750
46580571,93161142,93355892,194750
46580415,93160830,93355576,194746
46580039,93160078,93354817,194739
46577823,93155646,93350374,194728
46572783,93145566,93340289,194723
46572681,93145362,93340078,194716
46572571,93145142,93339857,194715
46570079,93140158,93334868,194710
46567663,93135326,93330022,194696
46567415,93134830,93329522,194692
46566639,93133278,93327970,194692
46565703,93131406,93326092,194686
46563453,93126906,93321592,194686
46562719,93125438,93320113,194675
46562643,93125286,93319955,194669
46560595,93121190,93315850,194660
46560255,93120510,93315167,194657
46556187,93112374,93307018,194644
46555359,93110718,93305357,194639
46553647,93107294,93301930,194636
46549967,93099934,93294560,194626
46549255,93098510,93293135,194625
46549075,93098150,93292774,194624
46548447,93096894,93291506,194612
46545255,93090510,93285112,194602
46541467,93082934,93277532,194598
46541031,93082062,93276656,194594
46540647,93081294,93275869,194575
46540087,93080174,93274748,194574
46537883,93075766,93270334,194568
46535071,93070142,93264706,194564
46534503,93069006,93263555,194549
46528511,93057022,93251549,194527
46527515,93055030,93249554,194524
46526463,93052926,93247442,194516
46522927,93045854,93240359,194505
46521599,93043198,93237700,194502
46520167,93040334,93234835,194501
46519017,93038034,93232529,194495
46518689,93037378,93231869,194491
46516831,93033662,93228143,194481
46513491,93026982,93221462,194480
46512039,93024078,93218536,194458
46509567,93019134,93213580,194446
46507199,93014398,93208835,194437
46506855,93013710,93208144,194434
46504731,93009462,93203890,194428
46502227,93004454,93198871,194417
46499113,92998226,93192634,194408
46492767,92985534,93179915,194381
46490223,92980446,93174826,194380
46490087,92980174,93174544,194370
46489691,92979382,93173743,194361
46485695,92971390,93165740,194350
46483809,92967618,93161968,194350
46482527,92965054,93159395,194341
46481659,92963318,93157658,194340
46480863,92961726,93156065,194339
46478783,92957566,93151882,194316
46477993,92955986,93150299,194313
46476297,92952594,93146906,194312
46473195,92946390,93140692,194302
46472169,92944338,93138626,194288
46467847,92935694,93129968,194274
46467067,92934134,93128402,194268
46463671,92927342,93121606,194264
46462415,92924830,93119084,194254
46459935,92919870,93114116,194246
46459897,92919794,93114035,194241
46457469,92914938,93109175,194237
46456287,92912574,93106802,194228
46455975,92911950,93106178,194228
46455343,92910686,93104909,194223
46454761,92909522,93103742,194220
46451867,92903734,93097942,194208
46450303,92900606,93094805,194199
46448511,92897022,93091211,194189
46446591,92893182,93087370,194188
46446345,92892690,93086873,194183
46444779,92889558,93083740,194182
46444287,92888574,93082750,194176
46444059,92888118,93082291,194173
46443803,92887606,93081778,194172
46441961,92883922,93078094,194172
46441499,92882998,93077158,194160
46439871,92879742,93073900,194158
46438143,92876286,93070438,194152
46435603,92871206,93065350,194144
46433505,92867010,93061150,194140
46432707,92865414,93059551,194137
46428651,92857302,93051413,194111
46428159,92856318,93050423,194105
46427775,92855550,93049652,194102
46427263,92854526,93048626,194100
46425535,92851070,93045164,194094
46423143,92846286,93040372,194086
46422139,92844278,93038362,194084
46422015,92844030,93038107,194077
46417919,92835838,93029903,194065
46415401,92830802,93024856,194054
46414617,92829234,93023285,194051
46413439,92826878,93020924,194046
46411773,92823546,93017591,194045
46410383,92820766,93014810,194044
46407801,92815602,93009626,194024
46406383,92812766,93006782,194016
46403347,92806694,93000710,194016
46401267,92802534,92996533,193999
46396577,92793154,92987141,193987
46396383,92792766,92986741,193975
46394107,92788214,92982185,193971
46393327,92786654,92980624,193970
46392039,92784078,92978039,193961
46389499,92778998,92972947,193949
46388777,92777554,92971502,193948
46386667,92773334,92967274,193940
46386207,92772414,92966344,193930
46385207,92770414,92964341,193927
46383215,92766430,92960345,193915
46383103,92766206,92960119,193913
46380425,92760850,92954762,193912
46378479,92756958,92950861,193903
46374049,92748098,92941985,193887
46373615,92747230,92941106,193876
46371135,92742270,92936140,193870
46370359,92740718,92934584,193866
46368027,92736054,92929913,193859
46365295,92730590,92924443,193853
46363931,92727862,92921701,193839
46359975,92719950,92913784,193834
46359417,92718834,92912663,193829
46358235,92716470,92910296,193826
46356009,92712018,92905825,193807
46354927,92709854,92903656,193802
46352383,92704766,92898556,193790
46351391,92702782,92896565,193783
46348799,92697598,92891372,193774
46346743,92693486,92887256,193770
46346399,92692798,92886568,193770
46345407,92690814,92884582,193768
46343927,92687854,92881613,193759
46340073,92680146,92873891,193745
46338791,92677582,92871319,193737
46336895,92673790,92867524,193734
46335871,92671742,92865473,193731
46334875,92669750,92863478,193728
46334095,92668190,92861914,193724
46331817,92663634,92857346,193712
46329759,92659518,92853220,193702
46326867,92653734,92847419,193685
46325993,92651986,92845667,193681
46325095,92650190,92843864,193674
46324991,92649982,92843656,193674
46324391,92648782,92842456,193674
46321343,92642686,92836358,193672
46321223,92642446,92836115,193669
46320059,92640118,92833780,193662
46318721,92637442,92831102,193660
46317089,92634178,92827831,193653
46315879,92631758,92825404,193646
46314721,92629442,92823074,193632
46312105,92624210,92817829,193619
46307307,92614614,92808220,193606
46306111,92612222,92805821,193599
46305775,92611550,92805146,193596
46302695,92605390,92798986,193596
46301181,92602362,92795939,193577
46299879,92599758,92793329,193571
46295999,92591998,92785558,193560
46293823,92587646,92781206,193560
46293083,92586166,92779706,193540
46290409,92580818,92774348,193530
46289147,92578294,92771819,193525
46287519,92575038,92768561,193523
46285851,92571702,92765210,193508
46284115,92568230,92761732,193502
46282399,92564798,92758292,193494
46278763,92557526,92751010,193484
46278313,92556626,92750110,193484
46275679,92551358,92744833,193475
46273819,92547638,92741110,193472
46271791,92543582,92737048,193466
46271487,92542974,92736440,193466
46270443,92540886,92734348,193462
46270311,92540622,92734072,193450
46268583,92537166,92730608,193442
46267959,92535918,92729357,193439
46267049,92534098,92727532,193434
46265985,92531970,92725400,193430
46265057,92530114,92723542,193428
46264479,92528958,92722378,193420
46259871,92519742,92713142,193400
46256873,92513746,92707136,193390
46253547,92507094,92700472,193378
46252827,92505654,92699032,193378
46250599,92501198,92694562,193364
46246299,92492598,92685950,193352
46244591,92489182,92682524,193342
46242943,92485886,92679227,193341
46240161,92480322,92673649,193327
46239881,92479762,92673083,193321
46236855,92473710,92667028,193318
46235783,92471566,92664884,193318
46235071,92470142,92663458,193316
46234027,92468054,92661349,193295
46228799,92457598,92650882,193284
46228327,92456654,92649932,193278
46227547,92455094,92648366,193272
46223519,92447038,92640293,193255
46222127,92444254,92637506,193252
46220159,92440318,92633564,193246
46217959,92435918,92629153,193235
46217811,92435622,92628857,193235
46217439,92434878,92628107,193229
46216631,92433262,92626489,193227
46215671,92431342,92624566,193224
46215111,92430222,92623439,193217
46212777,92425554,92618759,193205
46208509,92417018,92610220,193202
46207463,92414926,92608123,193197
46206889,92413778,92606974,193196
46206113,92412226,92605412,193186
46205929,92411858,92605036,193178
46203519,92407038,92600212,193174
46200047,92400094,92593244,193150
46197183,92394366,92587504,193138
46194367,92388734,92581865,193131
46194143,92388286,92581414,193128
46191615,92383230,92576356,193126
46183583,92367166,92560265,193099
46182399,92364798,92557880,193082
46180729,92361458,92554540,193082
46180199,92360398,92553473,193075
46178303,92356606,92549672,193066
46177663,92355326,92548388,193062
46175559,92351118,92544172,193054
46174447,92348894,92541946,193052
46173833,92347666,92540708,193042
46171855,92343710,92536748,193038
46169171,92338342,92531372,193030
46166887,92333774,92526788,193014
46163583,92327166,92520170,193004
46163321,92326642,92519644,193002
46161199,92322398,92515394,192996
46160873,92321746,92514734,192988
46159187,92318374,92511356,192982
46155775,92311550,92504513,192963
46152697,92305394,92498357,192963
46149743,92299486,92492440,192954
46149257,92298514,92491468,192954
46148863,92297726,92490668,192942
46147051,92294102,92487034,192932
46145003,92290006,92482928,192922
46140775,92281550,92474458,192908
46137473,92274946,92467852,192906
46137023,92274046,92466931,192885
46132279,92264558,92457436,192878
46131823,92263646,92456522,192876
46131695,92263390,92456255,192865
46127899,92255798,92448652,192854
46127195,92254390,92447237,192847
46125759,92251518,92444365,192847
46125383,92250766,92443612,192846
46122173,92244346,92437190,192844
46121563,92243126,92435956,192830
46119421,92238842,92431672,192830
46119239,92238478,92431300,192822
46116103,92232206,92425013,192807
46114283,92228566,92421368,192802
46109851,92219702,92412490,192788
46108095,92216190,92408957,192767
46105855,92211710,92404474,192764
46105257,92210514,92403274,192760
46103023,92206046,92398804,192758
46102975,92205950,92398700,192750
46100251,92200502,92393237,192735
46096831,92193662,92386390,192728
46094905,92189810,92382535,192725
46092251,92184502,92377207,192705
46088829,92177658,92370353,192695
46087305,92174610,92367296,192686
46086057,92172114,92364796,192682
46084839,92169678,92362349,192671
46083839,92167678,92360342,192664
46081961,92163922,92356582,192660
46078399,92156798,92349443,192645
46077019,92154038,92346682,192644
46076799,92153598,92346239,192641
46074523,92149046,92341676,192630
46072969,92145938,92338564,192626
46072553,92145106,92337731,192625
46071465,92142930,92335552,192622
46069231,92138462,92331073,192611
46065435,92130870,92323462,192592
46064297,92128594,92321183,192589
46060023,92120046,92312626,192580
46058137,92116274,92308844,192570
46056313,92112626,92305180,192554
46055579,92111158,92303710,192552
46054151,92108302,92300849,192547
46053595,92107190,92299733,192543
46052027,92104054,92296594,192540
46049759,92099518,92292046,192528
46048339,92096678,92289206,192528
46047801,92095602,92288123,192521
46045695,92091390,92283898,192508
46044327,92088654,92281156,192502
46040251,92080502,92272988,192486
46038911,92077822,92270302,192480
46036991,92073982,92266456,192474
46035547,92071094,92263562,192468
46033127,92066254,92258708,192454
46030137,92060274,92252722,192448
46027913,92055826,92248258,192432
46027433,92054866,92247298,192432
46022839,92045678,92238091,192413
46021867,92043734,92236144,192410
46018803,92037606,92230015,192409
46017193,92034386,92226782,192396
46016127,92032254,92224636,192382
46014159,92028318,92220700,192382
46013211,92026422,92218804,192382
46011721,92023442,92215817,192375
46008631,92017262,92209627,192365
46008447,92016894,92209252,192358
46007323,92014646,92206997,192351
46004223,92008446,92200775,192329
46000935,92001870,92194192,192322
45998559,91997118,92189431,192313
45994199,91988398,92180695,192297
45991167,91982334,92174611,192277
45987809,91975618,92167895,192277
45987483,91974966,92167237,192271
45983909,91967818,92160089,192271
45982623,91965246,92157497,192251
45981995,91963990,92156237,192247
45980671,91961342,92153578,192236
45978623,91957246,92149468,192222
45974631,91949262,92141477,192215
45973345,91946690,92138903,192213
45972783,91945566,92137772,192206
45972647,91945294,92137499,192205
45972617,91945234,92137436,192202
45971695,91943390,92135590,192200
45968681,91937362,92129555,192193
45967743,91935486,92127667,192181
45965311,91930622,92122792,192170
45964063,91928126,92120296,192170
45961593,91923186,92115346,192160
45960751,91921502,92113658,192156
45959835,91919670,92111825,192155
45959615,91919230,92111380,192150
45959195,91918390,92110540,192150
45955823,91911646,92103784,192138
45955753,91911506,92103641,192135
45955455,91910910,92103043,192133
45952743,91905486,92097611,192125
45952161,91904322,92096446,192124
45951657,91903314,92095432,192118
45949095,91898190,92090299,192109
45949039,91898078,92090182,192104
45946409,91892818,92084908,192090
45944969,91889938,92082025,192087
45942891,91885782,92077864,192082
45940191,91880382,92072449,192067
45939431,91878862,92070923,192061
45938847,91877694,92069752,192058
45935647,91871294,92063344,192050
45935103,91870206,92062252,192046
45933287,91866574,92058617,192043
45932447,91864894,92056931,192037
45929855,91859710,92051747,192037
45929471,91858942,92050960,192018
45927455,91854910,92046928,192018
45926619,91853238,92045249,192011
45924863,91849726,92041726,192000
45922463,91844926,92036924,191998
45919645,91839290,92031280,191990
45919463,91838926,92030909,191983
45917631,91835262,92027230,191968
45915391,91830782,92022743,191961
45911535,91823070,92015027,191957
45911531,91823062,92015014,191952
45909919,91819838,92011778,191940
45906601,91813202,92005132,191930
45905449,91810898,92002816,191918
45903899,91807798,91999712,191914
45901359,91802718,91994620,191902
45900223,91800446,91992346,191900
45898729,91797458,91989358,191900
45898209,91796418,91988318,191900
45895123,91790246,91982140,191894
45893959,91787918,91979800,191882
45893161,91786322,91978193,191871
45892635,91785270,91977140,191870
45891355,91782710,91974580,191870
45891071,91782142,91974005,191863
45890719,91781438,91973294,191856
45889183,91778366,91970218,191852
45886457,91772914,91964755,191841
45884667,91769334,91961170,191836
45883295,91766590,91958419,191829
45882209,91764418,91956244,191826
45881551,91763102,91954925,191823
45879609,91759218,91951037,191819
45879327,91758654,91950464,191810
45876507,91753014,91944821,191807
45874439,91748878,91940677,191799
45873139,91746278,91938077,191799
45872871,91745742,91937537,191795
45872681,91745362,91937146,191784
45871599,91743198,91934980,191782
45868271,91736542,91928308,191766
45866779,91733558,91925317,191759
45861915,91723830,91915570,191740
45860331,91720662,91912396,191734
45858813,91717626,91909354,191728
45854653,91709306,91901032,191726
45854319,91708638,91900349,191711
45852443,91704886,91896586,191700
45849875,91699750,91891444,191694
45849599,91699198,91890886,191688
45847323,91694646,91886326,191680
45845545,91691090,91882765,191675
45845503,91691006,91882678,191672
45843391,91686782,91878443,191661
45842127,91684254,91875914,191660
45840591,91681182,91872832,191650
45839807,91679614,91871258,191644
45833831,91667662,91859291,191629
45832047,91664094,91855709,191615
45830967,91661934,91853548,191614
45829119,91658238,91849837,191599
45826715,91653430,91845022,191592
45825327,91650654,91842245,191591
45825055,91650110,91841696,191586
45823287,91646574,91838158,191584
45822255,91644510,91836094,191584
45821679,91643358,91834936,191578
45820087,91640174,91831751,191577
45816859,91633718,91825283,191565
45816551,91633102,91824658,191556
45815785,91631570,91823116,191546
45812895,91625790,91817333,191543
45811895,91623790,91815329,191539
45808749,91617498,91809028,191530
45805887,91611774,91803280,191506
45805735,91611470,91802974,191504
45801899,91603798,91795297,191499
45801823,91603646,91795145,191499
45801545,91603090,91794580,191490
45799583,91599166,91790644,191478
45796233,91592466,91783942,191476
45795401,91590802,91782274,191472
45792905,91585810,91777270,191460
45791087,91582174,91773623,191449
45788399,91576798,91768226,191428
45783531,91567062,91758473,191411
45780295,91560590,91751998,191408
45779355,91558710,91750117,191407
45778697,91557394,91748785,191391
45776255,91552510,91743896,191386
45776063,91552126,91743506,191380
45774331,91548662,91740040,191378
45771931,91543862,91735235,191373
45770959,91541918,91733288,191370
45770409,91540818,91732175,191357
45768903,91537806,91729162,191356
45767511,91535022,91726378,191356
45766573,91533146,91724498,191352
45765415,91530830,91722172,191342
45765289,91530578,91721914,191336
45763611,91527222,91718554,191332
45763071,91526142,91717468,191326
45762615,91525230,91716556,191326
45761007,91522014,91713334,191320
45759865,91519730,91711048,191318
45759807,91519614,91710929,191315
45757631,91515262,91706564,191302
45756031,91512062,91703354,191292
45750777,91501554,91692836,191282
45750719,91501438,91692719,191281
45748847,91497694,91688974,191280
45748619,91497238,91688516,191278
45748071,91496142,91687414,191272
45747303,91494606,91685864,191258
45744575,91489150,91680407,191257
45744239,91488478,91679723,191245
45743387,91486774,91678018,191244
45742527,91485054,91676296,191242
45740703,91481406,91672636,191230
45737513,91475026,91666243,191217
45735359,91470718,91661924,191206
45733279,91466558,91657763,191205
45733051,91466102,91657307,191205
45732079,91464158,91655354,191196
45729755,91459510,91650704,191194
